SEQ_AUTO_INFRACAO;QUANTIDADE;UNIDADE;TIPO;GRUPO;NOME_POPULAR;NOME_CIENTIFICO;CITES;DESCRICAO;CARACTERISTICA;SITUACAO;ULTIMA_ATUALIZACAO_RELATORIO
1915939;14;kg (1.000 L);Pesca;Lagosta;;;N;;Morto;;08/11/2022 19:00
1962983;10;Unidade;Fauna;Ave;Sabiá-laranjeira;Turdus rufiventris;N;;Vivo;;08/11/2022 19:00
1962983;8;Unidade;Fauna;Ave;Azulão;Passerina brissonii;N;;Vivo;;08/11/2022 19:00
1962983;4;Unidade;Fauna;Ave;Papa-capim;Sporophila caerulescens;N;;Vivo;;08/11/2022 19:00
1962983;4;Unidade;Fauna;Ave;Trinca-ferro-verdadeiro;Saltator similis;N;;Vivo;;08/11/2022 19:00
1962983;3;Unidade;Fauna;Ave;Galo-da-campina;Paroaria dominicana;N;;Vivo;;08/11/2022 19:00
1962983;5;Unidade;Fauna;Ave;Bicudo-verdadeiro;Oryzoborus maximiliani;N;;Vivo;;08/11/2022 19:00
1962983;8;Unidade;Fauna;Ave;Pintassilgo;Carduelis magellanicus;N;;Vivo;;08/11/2022 19:00
1962983;4;Unidade;Fauna;Ave;Sofrê;Icterus jamacaii;N;;Vivo;;08/11/2022 19:00
1962983;10;Unidade;Fauna;Ave;Graúna;Gnorimopsar chopi;N;;Vivo;;08/11/2022 19:00
1835299;1030;Unidade;Pesca;Peixes Ornamentais;;;N;;Vivo;;08/11/2022 19:00
1964520;1;Unidade;Fauna;Réptil;Jabuti;;N;;Vivo;;08/11/2022 19:00
1964520;9;Unidade;Fauna;Ave;Tico-tico;;N;;Vivo;;08/11/2022 19:00
1964520;1;Unidade;Fauna;Ave;Graúna;;N;;Vivo;;08/11/2022 19:00
1964520;1;Unidade;Fauna;Ave;Gaturamo-verdadeiro;;N;;Vivo;;08/11/2022 19:00
1964520;1;Unidade;Fauna;Ave;Sabiá-laranjeira;;N;;Vivo;;08/11/2022 19:00
